Query ID: Q467101-28-20240709.050751.920
Query Text: select c_last_name    ,c_first_name    ,c_salutation    ,c_preferred_cust_flag     ,ss_ticket_number    ,cnt from  (select ss_ticket_number      ,ss_customer_sk      ,count(*) cnt   from store_sales,date_dim,store,household_demographics   where store_sales.ss_sold_date_sk = date_dim.d_date_sk   and store_sales.ss_store_sk = store.s_store_sk    and store_sales.ss_hdemo_sk = household_demographics.hd_demo_sk   and date_dim.d_dom between 1 and 2   and (household_demographics.hd_buy_potential = '>10000' or     household_demographics.hd_buy_potential = 'Unknown')   and household_demographics.hd_vehicle_count > 0   and case when household_demographics.hd_vehicle_count > 0 then        household_demographics.hd_dep_count/ household_demographics.hd_vehicle_count else null end > 1   and date_dim.d_year in (2000,2000+1,2000+2)   and store.s_county in ('Mobile County','Maverick County','Huron County','Kittitas County')   group by ss_ticket_number,ss_customer_sk) dj,customer   where ss_customer_sk = c_customer_sk    and cnt between 1 and 5   order by cnt desc, c_last_name asc
Parsing Time: 574 ms
Execution Time: 3.326 s
Client Perceived Time: 7.891344785690308 s
Row Count: 552
Results:
['Abraham', 'Gregory', 'Dr.', 'Y', 11080833, 5]
['Rosario', 'Kathleen', 'Mrs.', 'N', 193609966, 5]
['Rudolph', 'Fawn', 'Miss', 'N', 38749541, 5]
['Ruiz', 'Evette', 'Mrs.', 'N', 183521718, 5]
['Ryan', 'Tracie', 'Dr.', 'N', 171098838, 5]
['Sabo', 'Andrew', 'Miss', 'N', 42139825, 5]
['Salazar', 'Kimberly', 'Ms.', 'Y', 182882300, 5]
['Salisbury', 'Armand', 'Dr.', 'Y', 234439297, 5]
['Sanchez', 'Mandy', 'Miss', 'Y', 65143529, 5]
['Sanchez', 'Virginia', 'Mrs.', 'Y', 77465635, 5]
['Sanders', 'Robert', 'Dr.', 'Y', 163800970, 5]
['Sanford', 'Donna', 'Miss', 'Y', 139202697, 5]
['Satterfield', 'Carlton', 'Sir', 'Y', 192472543, 5]
['Schafer', 'Frank', 'Dr.', 'N', 202913990, 5]
['Schmitt', 'Lena', 'Dr.', 'N', 133170254, 5]
['Schmitz', 'Randy', 'Sir', 'N', 101666544, 5]
['Schneider', 'Laura', 'Miss', 'Y', 176234578, 5]
['Scott', 'Matthew', 'Mr.', 'N', 152850724, 5]
['Scott', 'Michael', 'Sir', 'Y', 187774265, 5]
['Seaman', 'Vernice', 'Dr.', 'N', 49404809, 5]
['Sears', 'Jim', 'Sir', 'N', 180022521, 5]
['Shaw', 'Melanie', 'Miss', 'Y', 198197734, 5]
['Shearer', 'Lynda', 'Ms.', 'Y', 192098029, 5]
['Shelley', 'Melisa', 'Mrs.', 'N', 49218643, 5]
['Shepherd', 'Clarence', 'Sir', 'N', 233498616, 5]
['Shields', 'Howard', 'Sir', 'Y', 80191762, 5]
['Simms', 'Roberta', 'Miss', 'N', 212025194, 5]
['Simon', 'Judi', 'Dr.', 'Y', 31390794, 5]
['Smith', 'Darla', 'Dr.', 'Y', 36541822, 5]
['Smith', 'Jess', 'Sir', 'N', 170318435, 5]
['Smith', 'Ingrid', 'Ms.', 'Y', 211027169, 5]
['Smith', 'Sharon', 'Miss', 'Y', 184427502, 5]
['Smith', 'Pablo', 'Sir', 'Y', 123285757, 5]
['Smith', 'Naomi', 'Ms.', 'N', 161952383, 5]
['Smith', 'Thomas', 'Mr.', 'Y', 211216875, 5]
['Smith', 'Tommy', 'Sir', 'N', 237294074, 5]
['Snyder', 'Barry', 'Mr.', 'N', 148977218, 5]
['Speed', 'Lyda', 'Ms.', 'N', 161453925, 5]
['Spivey', 'Amanda', 'Dr.', 'Y', 33123265, 5]
['Steele', None, None, 'Y', 83445914, 5]
['Stewart', 'Maurice', 'Sir', 'Y', 207275171, 5]
['Stiltner', 'Alan', 'Mr.', 'Y', 231464836, 5]
['Stovall', 'Wilson', 'Sir', 'Y', 224997947, 5]
['Stovall', 'Emanuel', 'Dr.', 'Y', 70026600, 5]
['Sturgeon', 'Heather', 'Miss', 'N', 192410774, 5]
['Sullivan', 'Jerry', 'Mr.', 'Y', 189026358, 5]
['Sullivan', 'Susan', 'Mrs.', 'Y', 1418101, 5]
['Taylor', 'Alexander', 'Dr.', 'N', 181479435, 5]
['Thatcher', 'James', 'Dr.', 'N', 11061940, 5]
['Thomas', 'Heather', 'Miss', 'N', 123015537, 5]
['Thompson', 'Jessica', 'Ms.', 'N', 120326681, 5]
['Thompson', 'Charles', 'Dr.', 'Y', 89148437, 5]
['Thornton', 'William', 'Mr.', 'N', 58864399, 5]
['Tobin', 'Greg', 'Dr.', 'Y', 35498226, 5]
['Torres', 'Luz', 'Dr.', 'N', 169512410, 5]
['Toth', 'Jessica', 'Ms.', 'Y', 214474886, 5]
['Turner', 'Roberta', 'Miss', 'Y', 51542995, 5]
['Turney', 'Belinda', 'Ms.', 'Y', 30204486, 5]
['Usher', 'Dallas', 'Dr.', 'Y', 151653841, 5]
['Vaughn', 'Levi', 'Sir', 'N', 49434682, 5]
['Vega', 'John', 'Dr.', 'N', 36305897, 5]
['Villa', 'Kevin', 'Mr.', 'N', 140083636, 5]
['Wagner', 'Jessica', 'Ms.', 'N', 56756133, 5]
['Wagner', 'Betty', 'Ms.', 'N', 140327030, 5]
['Waite', 'Elmer', 'Mr.', 'N', 156633985, 5]
['Walker', 'Michael', 'Mr.', 'N', 135688791, 5]
['Walls', 'Marianne', 'Miss', 'N', 230328549, 5]
['Walsh', 'Lewis', 'Mr.', 'N', 184796452, 5]
['Walsh', 'Pamela', 'Miss', 'Y', 109624616, 5]
['Ward', 'Gregory', 'Dr.', 'Y', 213358737, 5]
['Ward', 'Jennifer', 'Ms.', 'N', 171288671, 5]
['Washington', 'Edward', 'Mr.', 'Y', 189809349, 5]
['Washington', 'Ronald', 'Dr.', 'N', 216715547, 5]
['Washington', 'Luis', 'Mr.', 'N', 58011943, 5]
['Washington', 'Martha', 'Mrs.', 'Y', 177710659, 5]
['Webb', 'Francisco', 'Dr.', 'N', 219650847, 5]
['Webb', 'Laura', 'Mrs.', 'N', 169419863, 5]
['Webb', 'Peter', 'Dr.', 'N', 102649879, 5]
['Weed', 'Joshua', 'Mr.', 'Y', 171080825, 5]
['Weiner', 'Patrica', 'Dr.', 'N', 15774167, 5]
['Wells', 'Maribel', 'Miss', 'Y', 137927911, 5]
['West', 'Anthony', 'Mrs.', 'Y', 8235556, 5]
['West', 'Frank', 'Mr.', 'Y', 121241863, 5]
['White', None, None, 'Y', 224039084, 5]
['White', 'Bruce', 'Dr.', 'Y', 92374532, 5]
['Wiggins', 'Peggy', 'Ms.', 'Y', 79829958, 5]
['Wilder', 'Jordan', 'Sir', 'N', 132547914, 5]
['Wiles', 'Gilda', 'Miss', 'Y', 151716806, 5]
['Willard', 'Michael', 'Dr.', 'N', 166811749, 5]
['Williams', 'William', 'Mr.', 'N', 32444246, 5]
['Williams', 'Darryl', 'Dr.', 'Y', 108134652, 5]
['Williams', 'Edward', 'Dr.', 'N', 62148505, 5]
['Wilson', 'Lonna', 'Mrs.', 'N', 216961106, 5]
['Wilson', 'Michael', 'Dr.', 'N', 12884323, 5]
['Wise', 'Perla', 'Ms.', 'N', 128643189, 5]
['Witt', 'Thelma', 'Ms.', 'Y', 33187658, 5]
['Wolfe', 'Jeff', 'Mr.', 'N', 23586647, 5]
['Wood', 'Juanita', 'Miss', 'Y', 194769464, 5]
['Woods', 'Angela', 'Mrs.', 'N', 79256659, 5]
['Woods', 'Laurie', 'Dr.', 'Y', 155193544, 5]
['Woods', 'Geraldine', 'Dr.', 'N', 148581126, 5]
['Woodworth', 'Nancy', 'Dr.', 'N', 136985254, 5]
['Wright', 'Charles', 'Mr.', 'N', 176318832, 5]
['Wright', 'Ruth', 'Mrs.', 'N', 35803361, 5]
['Yates', 'Tam', 'Miss', 'N', 146886958, 5]
['Young', 'Denise', 'Miss', 'Y', 183947876, 5]
[None, None, None, 'Y', 36392180, 5]
[None, 'Norman', 'Dr.', 'N', 199381406, 5]
[None, None, None, 'Y', 2172526, 5]
[None, 'Donald', None, 'Y', 91398765, 5]
[None, None, None, 'Y', 15766250, 5]
[None, 'Mildred', 'Ms.', 'N', 108185556, 5]
['Amato', 'Teena', 'Dr.', 'N', 159050131, 4]
['Andrews', 'Charles', 'Sir', 'Y', 166793080, 4]
['Arrington', 'Eric', 'Sir', 'Y', 206625920, 4]
['Baker', 'Sara', 'Dr.', 'Y', 217233305, 4]
['Baumann', 'Kimberly', 'Dr.', 'Y', 90533902, 4]
['Bradbury', 'Jay', 'Dr.', 'N', 71031401, 4]
['Byrnes', 'Katherine', 'Ms.', 'Y', 236534539, 4]
['Campbell', 'Tina', 'Miss', 'N', 75196938, 4]
['Carranza', 'Marian', 'Miss', 'Y', 79671794, 4]
['Chew', 'Suzette', 'Miss', 'N', 175917145, 4]
['Covert', 'George', 'Dr.', 'Y', 232312918, 4]
['Fanning', 'Edwin', 'Dr.', 'Y', 225146915, 4]
['Floyd', 'Catherine', 'Dr.', 'N', 42460663, 4]
['Garner', 'Brenda', 'Ms.', 'N', 27652697, 4]
['Gibson', 'Sheryl', 'Ms.', 'Y', 184685804, 4]
['Guerra', 'Lisa', 'Dr.', 'Y', 24542065, 4]
['Jackson', 'Gregory', 'Mr.', 'N', 207677089, 4]
['Jackson', 'Phillip', 'Mr.', 'N', 127665500, 4]
['Johnson', 'Lazaro', 'Mr.', 'Y', 84318874, 4]
['Lange', 'Tommy', 'Sir', 'Y', 76853777, 4]
['Lawson', 'Susan', 'Miss', 'Y', 154805728, 4]
['Ledbetter', 'James', 'Dr.', 'N', 48110714, 4]
['Marshall', 'Oscar', 'Mr.', 'N', 20476100, 4]
['Olson', 'Olga', 'Dr.', 'Y', 16858745, 4]
['Park', 'Michael', 'Dr.', 'N', 163698792, 4]
['Peck', 'Virgil', 'Sir', 'N', 176542367, 4]
['Phillips', 'Dennis', 'Mr.', 'Y', 178305828, 4]
['Pierce', 'Laura', 'Dr.', 'N', 233620324, 4]
['Roberson', 'Florence', 'Ms.', 'Y', 209091364, 4]
['Rodriguez', 'Michelle', 'Dr.', 'Y', 239387367, 4]
['Ryan', 'Michael', 'Mr.', 'Y', 35989093, 4]
['Simons', 'Douglas', 'Sir', 'N', 2836580, 4]
['Smith', 'Cesar', 'Sir', 'N', 22985864, 4]
['Smith', 'Jane', 'Dr.', 'N', 28812323, 4]
['Sneed', 'Lorenzo', 'Dr.', 'N', 157212563, 4]
['Stanford', 'Rachel', 'Dr.', 'N', 166964277, 4]
['Stewart', 'Jill', 'Mrs.', 'Y', 197665658, 4]
['Thompson', 'Gloria', 'Miss', 'N', 88404655, 4]
['Tucker', 'Christopher', 'Mr.', 'N', 51949727, 4]
['Tucker', 'David', 'Mr.', 'N', 100645891, 4]
['Valdez', 'Kristi', 'Mrs.', 'N', 25370597, 4]
['Walsh', 'Jonathan', 'Sir', 'Y', 12104646, 4]
['Ward', 'Cindy', 'Ms.', 'N', 25101348, 4]
['Webb', 'Roma', 'Miss', 'N', 107783845, 4]
['Worthington', 'Phillip', 'Sir', 'Y', 144322012, 4]
['Brooks', 'Jessica', 'Dr.', 'Y', 108133830, 3]
['Shannon', 'Claudia', 'Mrs.', 'Y', 14848669, 3]
['Steward', 'Bridget', 'Miss', 'Y', 165476565, 3]
